accounts_datadictionary_1761017422058.csv
ColumnName,DisplayName,Description,SuggestedDataType,SampleValue,Sensitivity,Notes
ACNTS_ENTITY_NUM,Entity Number,Identifier for the legal entity/banking entity in a multi-entity setup.,INT,1,Low,Used to segregate data across entities/regions.
ACNTS_INTERNAL_ACNUM,Internal Account ID,System-generated unique internal account identifier (surrogate key).,BIGINT,987654321,High (Operational),Primary key used in joins; do not expose externally.
ACNTS_BRN_CODE,Branch Code,Code of the servicing/booking branch for the account.,VARCHAR(10),1,Low,Reference to branch master.
ACNTS_CLIENT_NUM,Customer Number,Unique customer/client identifier linked to the account.,BIGINT,2003456,High (PII),FK to customer master (CIF).
ACNTS_AC_SEQ_NUM,Account Sequence #,Sequence number for multiple accounts of the same type for the client.,INT,2,Low,Often starts at 1 and increments per product/type.
ACNTS_ACCOUNT_NUMBER,Account Number,Customer-facing account number displayed on statements and channels.,VARCHAR(32),4.11012E+12,High (PII),May include check digits; format bank-specific.
ACNTS_PROD_CODE,Product Code,"Code for the banking product (e.g., Savings, Current, Loan).",VARCHAR(10),SB,Low,Reference to product catalog.
ACNTS_AC_TYPE,Account Type,"High-level account type classification (e.g., SB, CA, TD, LN).",VARCHAR(10),SB,Low,Bank-defined enumerations.
ACNTS_AC_SUB_TYPE,Account Sub-Type,"Sub-category within the account type (e.g., Premium SB, Student SB).",VARCHAR(20),SB_PREM,Low,Parameterised; optional.
ACNTS_SCHEME_CODE,Scheme Code,Specific scheme/plan under the product defining pricing/benefits.,VARCHAR(20),SCM001,Low,Reference to scheme master.
ACNTS_OPENING_DATE,Opening Date,Date the account was opened/activated.,DATE,15/3/2020,Low,Used for tenure/aging calculations.
ACNTS_AC_NAME1,Account Name 1,Primary account holder name (line 1).,VARCHAR(140),TACHIONA TERENCE,High (PII),Shown on statements/cards.
ACNTS_AC_NAME2,Account Name 2,Secondary account holder/name continuation (line 2).,VARCHAR(140),& CO.,High (PII),Optional; for joint/corporate naming.
ACNTS_SHORT_NAME,Short Name,Short display name or nickname for the account.,VARCHAR(60),T TERENCE,Medium (PII),Used in channel UI lists.
ACNTS_AC_ADDR1,Address Line 1,Account address line 1 (mailing/registered).,VARCHAR(140),12 Samora Machel Ave,High (PII),Typically inherited from CIF at opening.
ACNTS_AC_ADDR2,Address Line 2,Account address line 2.,VARCHAR(140),Harare CBD,High (PII),Optional.
ACNTS_AC_ADDR3,Address Line 3,Account address line 3.,VARCHAR(140),Harare,High (PII),Optional.
ACNTS_AC_ADDR4,Address Line 4,Account address line 4.,VARCHAR(140),Zimbabwe,High (PII),Optional.
ACNTS_AC_ADDR5,Address Line 5,Account address line 5.,VARCHAR(140),,High (PII),Optional/rarely used.
ACNTS_LOCN_CODE,Location Code,Geographic/service location code associated with the account.,VARCHAR(10),HRE01,Low,Reference to location table.
ACNTS_CURR_CODE,Currency Code,Account currency ISO code.,CHAR(3),ZWL,Low,"e.g., ZWL, USD, ZAR."
ACNTS_GLACC_CODE,GL Account Code,Mapped General Ledger account for the product/account.,VARCHAR(20),21010010,Medium (Operational),For financial reporting and posting.
ACNTS_SALARY_ACNT,Salary Account Flag,Indicates if the account is designated as a salary account.,CHAR(1),Y,Low,Y/N.
ACNTS_PASSBK_REQD,Passbook Required,Whether a passbook is required for this account.,CHAR(1),N,Low,Y/N; legacy for passbook products.
ACNTS_DCHANNEL_CODE,Delivery Channel Code,"Preferred/default delivery channel code (e.g., branch, digital).",VARCHAR(10),DIG,Low,Bank-specific enumeration.
ACNTS_MKT_CHANNEL_CODE,Marketing Channel,Channel via which the account was sourced/marketed.,VARCHAR(10),ONLINE,Low,Attribution for sourcing KPIs.
ACNTS_MKT_BY_STAFF,Marketed By Staff,Staff ID who sourced the account.,VARCHAR(20),EMP1023,Medium (Internal),FK to staff master.
ACNTS_MKT_BY_BRN,Marketed By Branch,Branch that sourced the account.,VARCHAR(10),5,Low,For channel/branch performance.
ACNTS_DSA_CODE,DSA Code,Direct Selling Agent code if sourced via DSA.,VARCHAR(20),DSA07,Low,Reference to DSA master.
ACNTS_MODE_OF_OPERN,Mode of Operation,"Operational mandate (Single, Joint, Either/Survivor, etc.).",VARCHAR(10),SINGLE,Low,"Bank-defined codes (e.g., S, J, E/S)."
ACNTS_MOPR_ADDN_INFO,Mode of Opn. Extra Info,"Additional mandate/operation information (e.g., signatory remarks).",VARCHAR(255),Min 2 signatories,Medium (PII),Free text; verify governance.
ACNTS_REPAYABLE_TO,Repayable To,"Repayment payable to whom (e.g., Primary holder/3rd party).",VARCHAR(50),PRIMARY,Low,Loans/TD context; bank-specific values.
ACNTS_SPECIAL_ACNT,Special Account Flag,"Indicates special category (e.g., Staff, VIP, NRE).",VARCHAR(10),STAFF,Low,Enumerated; parameterised.
ACNTS_NOMINATION_REQD,Nomination Required,Whether nomination details are required/present.,CHAR(1),Y,Low,Y/N.
ACNTS_CREDIT_INT_REQD,Credit Interest Required,Whether credit interest accrues/credits on this account.,CHAR(1),Y,Low,"Typically Y for SB/TD, N for CA (unless negotiated)."
