GLBALH_BRN_CODE,GLBALH_GLACC_CODE,GLBALH_CURR_CODE,SUM(GLBALH_AC_BAL)
1,3000102095,USD,0
1,3000201063,ZIG,0
1,3000201063,ZWL,0
1,3000201071,ZIG,"6,285.97"
1,3000201071,ZWL,0
1,3000201078,ZIG,"5,334,394.73"
1,3000201078,ZWL,0
1,3000201087,ZIG,"44,222.29"
1,3000201088,ZIG,0
1,3000201088,ZWL,0
1,3000201101,ZIG,"124,913.76"
1,3000201107,ZIG,"2,560"
1,3000201116,ZIG,"2,560"
1,3000201170,ZIG,"68,026.31"
1,3000202063,BWP,0
1,3000202078,USD,"112,477.44"
1,3000202087,USD,"19,510"
1,3000202088,USD,0
1,3000202111,USD,0
1,3000202121,USD,"5,921.9"
1,3000202127,USD,419.99
1,3000202170,USD,900
1,3010101001,ZIG,0
1,3010101001,ZWL,0
1,3010101003,ZIG,"1,145,721.51"
1,3010101003,ZWL,0
1,3010101007,ZIG,0
1,3010101007,ZWL,0
1,3010101028,ZIG,"12,250.34"
1,3010101028,ZWL,0
1,3010101030,ZIG,"9,371.44"
1,3010101030,ZWL,0
1,3010101031,ZIG,"26,800.38"
1,3010101031,ZWL,0
1,3010101041,ZIG,0
1,3010101041,ZWL,0
1,3010101056,ZIG,0
1,3010101057,ZIG,0
1,3010101057,ZWL,0
1,3010101065,ZIG,0
1,3010101065,ZWL,0
1,3010101090,ZIG,0
1,3010101090,ZWL,0
1,3010101098,ZIG,0
1,3010101098,ZWL,0
1,3010101164,ZIG,0
1,3010101165,ZIG,"-456,222.77"
1,3010101232,ZIG,0
1,3010101232,ZWL,0
1,3010101239,ZIG,0
1,3010101239,ZWL,0
1,3010101240,ZIG,0
1,3010101240,ZWL,0
1,3010101241,ZIG,0
1,3010101241,ZWL,0
1,3010101242,ZIG,0
1,3010101242,ZWL,0
1,3010101243,ZIG,0
1,3010101243,ZWL,0
1,3010102001,BWP,0
1,3010102001,USD,0
1,3010102001,ZAR,0
1,3010102003,USD,"242,610.47"
1,3010102005,ZIG,0
1,3010102007,EUR,0
1,3010102007,USD,0
1,3010102007,ZAR,0
1,3010102028,USD,"3,260.95"
1,3010102031,USD,"3,038.87"
1,3010102032,USD,3.66
1,3010102032,ZAR,0
1,3010102040,USD,0
1,3010102041,USD,0
1,3010102041,ZAR,0
1,3010102056,USD,-17.2
1,3010102057,USD,"1,992.19"
1,3010102109,USD,3
1,3010102110,USD,993.79
1,3010102116,USD,"53,285.65"
1,3010102116,ZAR,252
1,3010102117,USD,60
1,3010102137,USD,0
1,3010102145,USD,0
1,3010102146,USD,0
1,3010102165,USD,"-242,063.27"
1,3010102166,USD,893.65
1,3010102167,USD,-23.07
1,3010102193,USD,-120.9
1,3010102198,USD,0
1,3010102228,ZIG,0
1,3010102228,ZWL,0
2,3000201029,ZIG,0
2,3000201029,ZWL,0
2,3000201071,ZIG,"3,654,898.34"
2,3000201071,ZWL,0
2,3000201075,ZIG,"6,103.96"
2,3000201075,ZWL,0
2,3000201087,ZIG,"423,181.93"
2,3000202034,USD,0
2,3000202071,USD,"144,350.05"
2,3000202075,USD,797.41
2,3000202087,USD,"49,763.02"
2,3000202093,USD,0
2,3000202105,USD,0
2,3000202111,USD,0
2,3000202164,USD,"4,544.36"
2,3010101001,ZIG,"-268,722.96"
2,3010101001,ZWL,0
2,3010101003,ZIG,"104,910.88"
2,3010101007,ZIG,0
2,3010101007,ZWL,0
2,3010101031,ZIG,0
2,3010101041,ZIG,0
2,3010101041,ZWL,0
2,3010101057,ZIG,0
2,3010101057,ZWL,0
2,3010101065,ZIG,0
2,3010101065,ZWL,0
2,3010101164,USD,19.5
2,3010101164,ZIG,"18,276"
2,3010101165,ZIG,"3,430,178.28"
