Gl Number,Gl Name,Gl Conc Name,Gl Type,Gl Catg Code,Gl Contra Gl,Gl Sub Gl Reqd,Gl Cust Ac Allowed,Gl Impersonal Acs,Gl Inter Brn Gl,Gl Nom Ac Gl,Gl Preced Entry Type,Gl Reversal Type,Gl Date Of Opening,Gl Default Currency,Gl Glacc Code,Gl Closure Date,Gl Entd By,Gl Entd On,Gl Last Mod By,Gl Last Mod On,Gl Auth By,Gl Auth On,Tba Main Key,Gl Glhier Code,Gl Parent Gl Num,Gl Book Code,Gl Lst Hier Gl
3030101,Guarantee and Letter of Credit Margins LCY,Guarantee and L,I,303,0,0,0,0,0,0,,,"January 1, 2022",,,,IDCADMIN,"August 1, 2023",,,IDCADMIN,"August 1, 2023",,L2,"30,301",BS,0
3030102,Guarantee and Letter of Credit Margins FCY,Guarantee and L,I,303,0,0,0,0,0,0,,,"January 1, 2022",,,,IDCADMIN,"August 1, 2023",,,IDCADMIN,"August 1, 2023",,L2,"30,301",BS,0
3040101,Non-Int Inc – Inv Prop fair value gains LCY,NonInt IncI,I,304,0,0,0,0,0,0,,,"January 1, 2022",,,,IDCADMIN,"August 1, 2023",,,IDCADMIN,"August 1, 2023",,L2,"30,401",BS,0
3040102,Non-Int Inc – Inv Prop fair value gains FCY,NonInt IncI,I,304,0,0,0,0,0,0,,,"January 1, 2022",,,,IDCADMIN,"August 1, 2023",,,IDCADMIN,"August 1, 2023",,L2,"30,401",BS,0
3050101,Other Com Inc - Land and build reval gains LCY,Other Com Inc -,I,305,0,0,0,0,0,0,,,"January 1, 2022",,,,IDCADMIN,"August 1, 2023",,,IDCADMIN,"August 1, 2023",,L2,"30,501",BS,0
3050102,Other Com Inc - Land and build reval gains FCY,Other Com Inc -,I,305,0,0,0,0,0,0,,,"January 1, 2022",,,,IDCADMIN,"August 1, 2023",,,IDCADMIN,"August 1, 2023",,L2,"30,501",BS,0
4010101,Operating Expense,Operating Expen,E,401,0,0,0,0,0,0, , ,"January 1, 2022", , ,,IDCADMIN,"August 1, 2023",MUTSAS,"December 31, 2024",TINOTMU,"December 31, 2024", ,L2,"40,101",BS,0
4020101,Tax expense LCY,Tax expense LCY,E,402,0,0,0,0,0,0, , ,"January 1, 2022", , ,,IDCADMIN,"August 1, 2023",MUTSAS,"March 21, 2025",SIPIWEC,"March 21, 2025", ,L2,"40,201",BS,0
4030101,Income tax expense LCY,Income tax expe,E,402,0,0,0,0,0,0,,,"January 1, 2022",,,,IDCADMIN,"August 1, 2023",,,IDCADMIN,"August 1, 2023",,L2,"40,301",BS,0
4040101,LOSS ON NET MONETARY POSITION LCY,LOSS ON NET MON,E,403,0,0,0,0,0,0,,,"January 1, 2022",,,,IDCADMIN,"August 1, 2023",,,IDCADMIN,"August 1, 2023",,L2,"40,401",BS,0
